doc_name,date,auteur,titre,canon,gender,naissance,mort,genre
1939_Colette_Duo-Le-Toutounier,1939,colette,duo le toutounier,canon,female,1873,1954,
1959_San-Antonio_Entre-la-vie-et-la-morgue,1959,san antonio,entre la vie et la morgue,non_canon,male,1921,2000,érotisme
1843_Feval-Paul_Les-Mysteres-de-Londres_Tome-I,1843,feval paul,les mysteres de londres,non_canon,male,1816,1887,policier
1851_Ceard-Henry_Belle-journee,1851,ceard henry,belle journee,non_canon,male,1851,1924,
1960_Delly_Le-sceau-de-Satan,1960,delly,le sceau de satan,non_canon,female,1875,1947,roman sentimental
1917_Boylesve-Rene_Le-Bonheur-a-cinq-sous,1917,boylesve rene,le bonheur a cinq sous,non_canon,male,1867,1926,nouvelles
1847_Sue-Eugene_Martin-l-enfant-trouve_Tome-II,1847,sue eugene,martin l enfant trouve,canon,male,1847,1847,cycles et séries
2006_Jouet-Jacques_L-amour-comme-on-l-apprend-a-l-Ecole-hoteliere,2006,jouet jacques,l amour comme on l apprend a l ecole hoteliere,non_canon,male,1947,20--,
1822_Arlincourt-Charles-Victor_Le-renégat_Tome-1,1822,arlincourt charles victor,le renégat,non_canon,male,1788,1856,roman historique
1959_San-Antonio_Prenez-en-de-la-graine,1959,san antonio,prenez en de la graine,non_canon,male,1921,2000,érotisme
1904_Gautier-Judith_Le-paravent-de-soie-et-d-or,1904,gautier judith,le paravent de soie et d or,non_canon,female,1845,1917,nouvelles
1897_Mary-Jules_Les-Filles-de-la-pocharde,1897,mary jules,les filles de la pocharde,non_canon,male,1851,1922,
1928_Delly_Coeurs-ennemis-Orietta,1928,delly,coeurs ennemis orietta,non_canon,female,1875,1947,
1972_Boileau-Narcejac_La-vie-en-miettes,1972,boileau narcejac,la vie en miettes,non_canon,male,1906,1989,policier
1874_Huysmans-Joris-Karl_Le-drageoir-aux-epices,1874,huysmans joris karl,le drageoir aux epices,canon,male,1848,1907,fragments
1973_Barjavel-Rene_Le-Grand-Secret,1973,barjavel rene,le grand secret,non_canon,male,1911,1985,roman d'aventures
1925_Zevaco-Michel_Le-Fils-de-Pardaillan_tome-1,1925,zevaco michel,le fils de pardaillan,non_canon,male,1860,1918,roman d'aventures
1898_Lesueur-Daniel_Levres-closes,1898,lesueur daniel,levres closes,non_canon,female,1854,1921,
